status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
232633627068_10156937002752069,"姊妹，我可以當你失蹤了，拜託你們兩個去旁邊放飛自我吧
　
#影創中心 影像創意中心 17Video",影像創意中心,video,https://www.facebook.com/AppleNews.iPlay/videos/422839888174071/,2018-03-22 20:50:00,619,61,47,404,2,2,186,1,24,0
232633627068_10156937097857069,"原來是因為有交情(´_ゝ`)
　
#傅崑萁 #政治獻金 #石材業",傅崐萁歷年參選政治獻金　3成多來自石材業,link,https://tw.news.appledaily.com/politics/realtime/20180322/1320057/,2018-03-22 20:40:00,2734,274,66,1439,4,98,540,2,651,0
232633627068_10156936967967069,"對警察大小聲又動手，但遇到記者的時候又親切問好，我真的不是很懂🤨
　　
看更多 #影片，快加入 蘋果動未條 粉絲團",蘋果動未條,video,https://www.facebook.com/appledaily.animation/videos/834321370100386/,2018-03-22 20:30:00,191,41,4,136,1,6,13,0,35,0
232633627068_10156937392772069,"真的太可怕了！😠😠😠
　
#蘋果社會",恐怖！妙齡女在家洗澡　竟遇色狼闖入性侵,link,https://tw.news.appledaily.com/local/realtime/20180322/1320234/,2018-03-22 20:20:00,3138,40,35,2335,2,239,7,6,549,0
232633627068_10156937375237069,"最近的警紀是怎麼了....
　
【獨家】持毒警高中頂標進警大　曾任警大柔道隊長
https://tw.appledaily.com/new/realtime/20180322/1319894/
#蘋果社會",警察吸毒再添一筆　偵查佐遭女友檢舉嗑藥,link,https://tw.news.appledaily.com/local/realtime/20180322/1320247/,2018-03-22 20:10:00,1879,47,18,1608,6,125,98,7,35,0
232633627068_10156937386997069,"大家對他的印象應該都還很深刻吧 ( ͡° ͜ʖ ͡°)
　
【有片】「百人斬」暴紅嫩模　素顏原來長這樣
https://tw.news.appledaily.com/local/realtime/20180201/1290129
#蘋果社會 #羽沫 Betty 羽沫",百人斬不成　E奶嫩模素顏被逮結果出爐,link,https://tw.news.appledaily.com/local/realtime/20180322/1320215/,2018-03-22 20:00:29,2342,161,27,1914,6,168,239,10,5,0
232633627068_10156937384142069,"當事人：「我期間因太生氣說出『他媽的』等字眼，是我不對，但高鐵這樣對待旅客就對嗎？」
　
【真敢嗆】升等商務艙洩「有錢是大爺」嘴臉！高鐵佔位哥紅了
https://tw.appledaily.com/new/realtime/20180322/1319638/
　
#佔位哥 #蘋果社會",商務艙「佔位哥」現身喊冤　高鐵忍不住打臉,link,https://tw.news.appledaily.com/life/realtime/20180322/1320240/,2018-03-22 19:50:03,1522,104,14,981,2,34,182,2,321,0
232633627068_10156937275652069,"代價太大了.....
　
#鼎玉鉉 #蘋果社會",【動新聞】知名鵝肉店遭縱火2死　竟因詐騙集團黑吃黑釀禍,link,https://tw.news.appledaily.com/local/realtime/20180322/1319884/,2018-03-22 19:40:00,1295,19,13,1124,1,101,8,39,22,0
232633627068_10156936693642069,"一時的好玩，卻會為孩子帶來終身的遺憾 #海編
　
看更多 #影片，快加入 蘋果動未條 粉絲團",蘋果動未條,video,https://www.facebook.com/appledaily.animation/videos/834319880100535/,2018-03-22 19:30:00,359,115,86,177,0,25,1,73,83,0
232633627068_10156937305272069,"哇！要跟人民幣say byebye囉！
　
#蘋果娛樂 #蘋果獨家 谷阿莫 AmoGood 谷阿莫 AmoGood 2.0
🍎想對FB變心？我們也有IG喔(≖‿ゝ≖)✧ 👉https://goo.gl/HxyZnq",【獨家】谷阿莫GG了　中國下令禁止改編重剪影視作品,link,https://tw.entertainment.appledaily.com/realtime/20180322/1320233/,2018-03-22 19:20:40,4725,149,74,3608,17,148,928,19,5,0
232633627068_10156937273097069,"Oh No  ´• ل •`
　
#蘋果國際 香草航空 Peach Aviation[Taiwan]
🍎想對FB變心？我們也有IG喔(≖‿ゝ≖)✧ 👉https://goo.gl/HxyZnq",【哈日族哭哭】樂桃和香草確定合併　達人：機票促銷恐變少,link,https://tw.finance.appledaily.com/realtime/20180322/1320156/,2018-03-22 19:11:00,528,28,31,394,1,79,5,47,2,0
232633627068_10156937233687069,"看來重機玩家得再等等了！
　
#重機 
🍎加入《蘋果》LINE，拒當知識魯窮宅 👉 https://goo.gl/pQ9xTe",紅牌重機檢核「沒進步」　交部拍板：暫不擴大上國道試辦,link,https://tw.news.appledaily.com/life/realtime/20180322/1319939/,2018-03-22 19:00:00,3382,539,94,2417,34,44,539,14,334,0
232633627068_10156936943022069,"ㄇㄉㄅㄑ
　
#影創中心 影像創意中心 最近紅什麼",影像創意中心,video,https://www.facebook.com/AppleNews.iPlay/videos/422839054840821/,2018-03-22 18:50:00,497,34,43,399,0,3,94,1,0,0
232633627068_10156937152962069,"那以後 #7pupu編 也都要在公司拉屎(ง๑ •̀_•́)ง
　
🍎想對FB變心？我們也有IG喔(≖‿ゝ≖)✧ 👉https://goo.gl/HxyZnq",拉屎要在公司拉　神邏輯！大便的價值引發瘋傳,link,https://tw.news.appledaily.com/life/realtime/20180322/1320118/,2018-03-22 18:40:00,400,51,16,322,1,4,73,0,0,0
232633627068_10156936850157069,"新聞留言一片哀嚎耶，真有這麼好喝？？ #鄉編
　　
【圖文報導】網友崩潰：還我焦糖奶茶！　麥當勞回應了
https://tw.news.appledaily.com/life/realtime/20180322/1319604
　
【相關新聞】台人愛早餐！麥當勞創全球首例　開賣39元烤土司
https://tw.news.appledaily.com/life/realtime/20180321/1319000
　
#麥當勞 麥當勞",網友崩潰：還我焦糖奶茶！　麥當勞回應了,video,https://www.facebook.com/appledaily.tw/videos/10156936848257069/,2018-03-22 18:30:00,4575,1077,218,3731,11,67,57,369,340,0
